City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
84,ola,59.5833,151.2833,57.15,88,74,8.48,RU,1661114199
85,hilo,19.7297,-155.09,84.27,64,75,9.22,US,1661114017
86,vrindavan,27.5833,77.7,79.59,83,100,6.53,IN,1661114200
87,seymchan,62.8833,152.4333,55.26,90,100,5.68,RU,1661113998
88,sola,-13.8833,167.55,74.07,88,71,3.44,VU,1661114201
89,kudahuvadhoo,2.6708,72.8944,82.26,75,33,12.93,MV,1661114201
90,bulgan,48.8125,103.5347,40.15,84,1,2.75,MN,1661114201
91,disna,55.568,28.1971,59.0,87,36,7.38,BY,1661113928
92,nipawin,53.3668,-104.0009,78.84,57,75,10.36,CA,1661114202
93,sitka,57.0531,-135.33,57.09,94,100,0.0,US,1661114202
94,chermoz,58.787,56.1489,59.0,79,0,3.96,RU,1661114203
95,tual,-5.6667,132.75,79.23,79,24,21.88,ID,1661114203
96,isangel,-19.55,169.2667,66.31,94,11,1.14,VU,1661114204
97,ilulissat,69.2167,-51.1,39.22,81,75,5.75,GL,1661114204
98,sao joao da barra,-21.6403,-41.0511,69.89,67,98,14.79,BR,1661114020
99,san policarpo,12.1791,125.5072,77.4,87,100,5.32,PH,1661114205
100,alofi,-19.0595,-169.9187,75.09,73,75,4.61,NU,1661114205
101,mandalgovi,45.7625,106.2708,43.9,74,90,11.07,MN,1661114206
102,xuddur,4.1213,43.8894,71.2,74,79,20.11,SO,1661114206
103,sao gabriel da cachoeira,-0.1303,-67.0892,78.93,70,96,2.8,BR,1661114207
104,vaini,-21.2,-175.2,73.56,88,20,9.22,TO,1661114207
105,barrow,71.2906,-156.7887,34.97,67,100,15.23,US,1661114208
106,shimoda,34.6667,138.95,74.1,90,29,14.25,JP,1661113937
107,saldanha,-33.0117,17.9442,50.05,83,0,12.24,ZA,1661114209
108,constitucion,-35.3333,-72.4167,58.55,73,1,7.81,CL,1661113932
109,cockburn town,21.4612,-71.1419,85.96,66,40,11.5,TC,1661114210
110,hithadhoo,-0.6,73.0833,81.82,76,61,12.15,MV,1661114210
111,koshurnikovo,54.1667,93.3,43.07,97,99,2.3,RU,1661114211
112,codrington,-38.2667,141.9667,52.21,77,91,17.81,AU,1661114211
113,kirakira,-10.4544,161.9205,79.86,80,27,10.33,SB,1661114212
114,knysna,-34.0363,23.0471,50.97,78,0,2.98,ZA,1661114213
115,narsaq,60.9167,-46.05,55.62,53,9,2.51,GL,1661114032
116,meulaboh,4.1363,96.1285,75.76,88,100,4.63,ID,1661114213
117,ponta do sol,32.6667,-17.1,78.71,65,98,8.41,PT,1661114214
118,seoul,37.5683,126.9778,78.24,88,20,4.61,KR,1661114105
119,east london,-33.0153,27.9116,57.58,60,0,6.11,ZA,1661114215
120,clearlake,38.9582,-122.6264,96.35,24,0,7.76,US,1661114215
121,tungor,53.3808,142.9564,55.09,87,100,14.45,RU,1661114216
122,rawson,-43.3002,-65.1023,53.71,58,0,25.99,AR,1661114216
123,guiratinga,-16.3494,-53.7583,84.94,27,100,4.54,BR,1661114217
124,uusikaupunki,60.8004,21.4084,58.84,88,100,2.1,FI,1661114217
125,kenai,60.5544,-151.2583,58.08,95,100,10.36,US,1661114218
126,harer,9.3094,42.1258,64.31,63,77,8.79,ET,1661114218
127,durango,24.8333,-104.8333,79.74,35,45,3.65,MX,1661114023
128,severo-kurilsk,50.6789,156.125,57.4,97,94,3.42,RU,1661113937
129,roald,62.5833,6.1333,56.91,87,40,17.27,NO,1661114220
130,chapada dos guimaraes,-15.4606,-55.7497,80.26,36,74,5.44,BR,1661114220
131,kunming,25.0389,102.7183,62.53,100,100,6.71,CN,1661113941
132,kyshtovka,56.555,76.6271,45.01,86,100,5.1,RU,1661114221
133,kutum,14.2,24.6667,76.89,57,21,5.95,SD,1661114221
134,bluff,-46.6,168.3333,48.79,63,71,10.31,NZ,1661114222
135,ambilobe,-13.2,49.05,67.69,64,56,5.91,MG,1661114222
136,battle creek,42.3212,-85.1797,82.45,40,20,6.91,US,1661114163
137,bathsheba,13.2167,-59.5167,84.81,79,40,9.22,BB,1661114223
138,hermanus,-34.4187,19.2345,53.8,86,0,8.93,ZA,1661114223
139,canaries,28.0,-15.5,73.36,61,0,27.63,ES,1661114224
140,ostrovnoy,68.0531,39.5131,62.29,61,5,20.31,RU,1661113977
141,lavrentiya,65.5833,-171.0,45.43,62,0,6.8,RU,1661114225
142,atar,20.5169,-13.0499,93.88,37,98,6.11,MR,1661114225
143,wahiawa,21.5028,-158.0236,81.21,59,0,11.5,US,1661114226
